사용기관명,전용면적,공간용도구분
동물생명공학과,31.82,교수연구실
목재응용과학과,31.82,대학원생연구실
동물생명공학과,31.82,학과(부) 행정실
동물생명공학과,31.82,대학원생연구실
동물생명공학과,31.82,교수연구실
동물생명공학과,31.08,연구용실험실
동물생명공학과,31.08,교수연구실
동물생명공학과,31.08,대학원생연구실
동물생명공학과,31.08,교수연구실
동물생명공학과,31.08,교수연구실
동물생명공학과,31.08,대학원생연구실
동물생명공학과,31.08,대학원생연구실
동물생명공학과,31.08,교육용실험실습실
산림환경과학과,30.6,학과(부) 행정실
작물생명과학과,30.0,학과(부) 행정실
식품공학과,29.93,교수연구실
원예학과,29.93,교육용실험실습실
생명자원융합학과,29.93,강의실
산림환경과학과,29.75,학과(부) 행정실
동물생명공학과,29.5,교육용실험실습실
농생물학과,29.25,교육용실험실습실
농생물학과,29.25,대학원생연구실
농생물학과,29.25,연구용실험실
농생물학과,29.25,교육용실험실습실
식물방역학과,29.25,연구용실험실
식물방역대학원,29.25,대학원생연구실
조경학과,29.25,학과(부) 행정실
조경학과,29.25,학과(부) 행정실
조경학과,29.25,교수회의실 및 휴게실
농생물학과,29.25,연구용실험실
농생물학과,29.25,연구용실험실
조경학과,28.42,대학원생연구실
목재응용과학과,27.0,연구용실험실
목재응용과학과,27.0,연구용실험실
목재응용과학과,27.0,연구용실험실
목재응용과학과,27.0,연구용실험실
산림환경과학과,26.65,교수연구실
산림환경과학과,26.65,연구용실험실
산림환경과학과,26.65,비전임교원연구실
산림환경과학과,26.65,교수연구실
산림환경과학과,26.65,교수연구실
지역건설공학과,26.65,연구용실험실
산림환경과학과,26.65,대학원생연구실
지역건설공학과,26.65,연구용실험실
지역건설공학과,26.65,교수연구실
지역건설공학과,26.65,대학원생연구실
지역건설공학과,26.65,교수연구실
지역건설공학과,26.65,교수연구실
지역건설공학과,26.65,학생자치실
산림환경과학과,26.65,교수연구실
지역건설공학과,26.65,대학원생연구실
지역건설공학과,26.65,교수연구실
지역건설공학과,26.65,교수연구실
작물생명과학과,26.4,대학원생연구실
작물생명과학과,26.4,대학원생연구실
작물생명과학과,26.4,교수연구실
작물생명과학과,26.4,교수연구실
작물생명과학과,26.4,교육용실험실습실
생물환경화학과,26.4,교수연구실
작물생명과학과,26.4,교수회의실 및 휴게실
작물생명과학과,26.4,대학원생연구실
작물생명과학과,26.4,교수연구실
작물생명과학과,26.4,교수연구실
작물생명과학과,26.4,연구용실험실
작물생명과학과,26.4,교수연구실
원예학과,26.4,교수연구실
생물환경화학과,26.4,교수연구실
생물환경화학과,26.4,교수연구실
원예학과,26.4,교수연구실
원예학과,26.4,교수연구실
생물환경화학과,26.4,교수연구실
생물환경화학과,26.4,학과(부) 행정실
생물환경화학과,26.4,연구용실험실
생물환경화학과,26.4,교수연구실
생물환경화학과,26.4,교수연구실
원예학과,26.4,교수연구실
원예학과,26.4,연구용실험실
원예학과,26.4,교수연구실
원예학과,26.4,사업단실
원예학과,26.4,학과(부) 행정실
식품공학과,25.07,교육용실험실습실
목재응용과학과,24.0,연구용실험실
작물생명과학과,23.32,학생자치실
생물환경화학과,23.32,학생자치실
동물생명공학과,23.32,학생자치실
원예학과,23.32,학생자치실
농생물학과,22.68,교수연구실
조경학과,22.62,교수연구실
동물자원과학과,22.62,교수연구실
농생물학과,22.62,교수연구실
동물자원과학과,22.62,학생자치실
농생물학과,22.62,교수연구실
농생물학과,22.62,대학원생연구실
조경학과,22.62,교수연구실
동물자원과학과,22.62,교수연구실
식물방역대학원,22.62,교수연구실
농생물학과,22.62,학생자치실
동물자원과학과,22.62,학과(부) 행정실
동물자원과학과,22.62,대학원생연구실
동물자원과학과,22.62,교수연구실
조경학과,22.62,교수연구실
동물자원과학과,22.62,연구용실험실
농생물학과,22.62,연구용실험실
식물방역대학원,22.62,교수연구실
농생물학과,22.62,교수연구실
농생물학과,22.62,교수회의실 및 휴게실
농생물학과,22.62,교수연구실
조경학과,22.62,학생자치실
농생물학과,22.62,대학원생연구실
동물자원과학과,22.62,연구용실험실
동물자원과학과,22.62,교수연구실
동물자원과학과,22.62,연구용실험실
동물자원과학과,22.62,교수연구실
동물자원과학과,22.62,연구용실험실
농생물학과,22.62,대학원생연구실
생물산업기계공학과,22.23,대학원생연구실
생물산업기계공학과,22.23,교수연구실
생물산업기계공학과,22.23,교수회의실 및 휴게실
목재응용과학과,22.23,교육용실험실습실
생물산업기계공학과,22.23,교수연구실
목재응용과학과,22.23,연구용실험실
생물산업기계공학과,22.23,교수연구실
생물산업기계공학과,22.23,교수연구실
목재응용과학과,22.23,학과(부) 행정실
농경제유통학부,22.23,교수연구실
목재응용과학과,22.23,연구용실험실
생물산업기계공학과,22.23,학과(부) 행정실
목재응용과학과,22.23,교수연구실
목재응용과학과,22.23,교수연구실
식품공학과,22.23,교수연구실
생물산업기계공학과,22.23,학과(부) 행정실
목재응용과학과,22.23,교수연구실
식품공학과,22.23,교수회의실 및 휴게실
식품공학과,22.23,교수연구실
