사용기관명,전용면적,공간용도구분
농업경제학,22.23,대학원생연구실
농업경제학,22.23,대학원생연구실
농업경제학,22.23,교수회의실 및 휴게실
농업경제학,22.23,대학원생연구실
농업경제학,22.23,대학원생연구실
농업생명과학대학,22.23,기타공용시설
농업생명과학대학,21.87,기타공용시설
농업생명과학대학,21.73,연구용실험실
농업생명과학대학,19.69,기타공용시설
농업생명과학대학,19.69,기타공용시설
농업생명과학대학,19.34,학생자율학습실
농업생명과학대학,17.84,학생자치실
식품유통학,17.83,학생자치실
농업생명과학대학,17.83,학생자치실
특화작목산학연협력단(수박),17.83,사업단실
농업생명과학대학 부속동물사육장,16.5,기타공용시설
농업생명과학대학 부속동물사육장,15.0,기타공용시설
농업생명과학대학,14.85,사업단실
농업생명과학대학,14.85,대학(원) 행정시설
농업생명과학대학 행정실,13.5,교육용실험실습실
전북대학교,13.5,기타공용시설
전북대학교,13.5,기타공용시설
전북대학교,13.5,기타공용시설
전북대학교,13.5,기타공용시설
농업생명과학대학,13.13,기타공용시설
농업생명과학대학,13.12,기타공용시설
농업생명과학대학,13.12,기타공용시설
농업생명과학대학,13.12,기타공용시설
농업생명과학대학,11.22,연구용실험실
전북대학교,9.9,기타공용시설
농업생명과학대학,9.75,연구용실험실
농업생명과학대학,9.75,연구용실험실
농업생명과학대학,9.75,연구용실험실
농업생명과학대학,7.96,대학(원) 행정시설
농업생명과학대학,5.37,기타공용시설
농업생명과학대학,5.1,기타공용시설
농업생명과학대학,5.0,사업단실
농업생명과학대학,5.0,기타공용시설
농업생명과학대학,4.5,기타공용시설
전북대학교,0.0,기타공용시설
전북대학교,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
전북대학교,0.0,기타공용시설
전북대학교,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
농업생명과학대학,0.0,기타공용시설
